# of elements,operation,duration (ns)
10,Insert,638
10,Find,385
10,Delete,710
10,Memory,400
110,Insert,753
110,Find,347
110,Delete,955
110,Memory,3232
210,Insert,705
210,Find,329
210,Delete,1198
210,Memory,6304
310,Insert,649
310,Find,433
310,Delete,896
310,Memory,8720
410,Insert,622
410,Find,339
410,Delete,605
410,Memory,11920
510,Insert,613
510,Find,348
510,Delete,827
510,Memory,14544
610,Insert,950
610,Find,387
610,Delete,1209
610,Memory,17808
710,Insert,673
710,Find,338
710,Delete,734
710,Memory,20464
810,Insert,679
810,Find,431
810,Delete,946
810,Memory,22640
910,Insert,778
910,Find,465
910,Delete,1326
910,Memory,26320
1010,Insert,586
1010,Find,425
1010,Delete,680
1010,Memory,29232
1110,Insert,748
1110,Find,466
1110,Delete,690
1110,Memory,32400
1210,Insert,741
1210,Find,413
1210,Delete,957
1210,Memory,33936
1310,Insert,925
1310,Find,404
1310,Delete,934
1310,Memory,37872
1410,Insert,871
1410,Find,522
1410,Delete,1181
1410,Memory,41264
1510,Insert,625
1510,Find,415
1510,Delete,762
1510,Memory,43504
1610,Insert,842
1610,Find,456
1610,Delete,1198
1610,Memory,46032
1710,Insert,807
1710,Find,459
1710,Delete,725
1710,Memory,48496
1810,Insert,1015
1810,Find,527
1810,Delete,1069
1810,Memory,52656
1910,Insert,836
1910,Find,500
1910,Delete,962
1910,Memory,55056
2010,Insert,755
2010,Find,501
2010,Delete,741
2010,Memory,57232
2110,Insert,867
2110,Find,524
2110,Delete,961
2110,Memory,60976
2210,Insert,647
2210,Find,528
2210,Delete,768
2210,Memory,63024
2310,Insert,730
2310,Find,373
2310,Delete,683
2310,Memory,66160
2410,Insert,728
2410,Find,352
2410,Delete,714
2410,Memory,69648
2510,Insert,799
2510,Find,396
2510,Delete,703
2510,Memory,70640
2610,Insert,759
2610,Find,366
2610,Delete,825
2610,Memory,75152
2710,Insert,746
2710,Find,508
2710,Delete,853
2710,Memory,76496
2810,Insert,731
2810,Find,393
2810,Delete,761
2810,Memory,81392
2910,Insert,757
2910,Find,422
2910,Delete,748
2910,Memory,83984
3010,Insert,622
3010,Find,364
3010,Delete,795
3010,Memory,86160
3110,Insert,725
3110,Find,285
3110,Delete,762
3110,Memory,90160
3210,Insert,764
3210,Find,494
3210,Delete,820
3210,Memory,92176
3310,Insert,778
3310,Find,490
3310,Delete,1417
3310,Memory,93904
3410,Insert,743
3410,Find,445
3410,Delete,866
3410,Memory,96912
3510,Insert,750
3510,Find,391
3510,Delete,689
3510,Memory,99792
3610,Insert,762
3610,Find,401
3610,Delete,779
3610,Memory,105648
3710,Insert,727
3710,Find,448
3710,Delete,825
3710,Memory,107984
3810,Insert,773
3810,Find,431
3810,Delete,655
3810,Memory,110736
3910,Insert,849
3910,Find,512
3910,Delete,929
3910,Memory,111056
4010,Insert,802
4010,Find,538
4010,Delete,886
4010,Memory,114704
4110,Insert,702
4110,Find,560
4110,Delete,935
4110,Memory,124656
4210,Insert,1202
4210,Find,549
4210,Delete,1155
4210,Memory,126160
4310,Insert,950
4310,Find,523
4310,Delete,1378
4310,Memory,127568
4410,Insert,921
4410,Find,546
4410,Delete,1172
4410,Memory,129680
4510,Insert,893
4510,Find,611
4510,Delete,942
4510,Memory,132432
4610,Insert,857
4610,Find,585
4610,Delete,902
4610,Memory,134384
4710,Insert,850
4710,Find,525
4710,Delete,876
4710,Memory,135760
4810,Insert,835
4810,Find,468
4810,Delete,936
4810,Memory,138128
4910,Insert,886
4910,Find,576
4910,Delete,1257
4910,Memory,141616
5010,Insert,1027
5010,Find,578
5010,Delete,1133
5010,Memory,142768
5110,Insert,855
5110,Find,496
5110,Delete,1262
5110,Memory,143568
5210,Insert,900
5210,Find,662
5210,Delete,1365
5210,Memory,170536
5310,Insert,1006
5310,Find,547
5310,Delete,1315
5310,Memory,155952
5410,Insert,783
5410,Find,517
5410,Delete,1291
5410,Memory,158000
5510,Insert,754
5510,Find,494
5510,Delete,1256
5510,Memory,160208
5610,Insert,796
5610,Find,484
5610,Delete,1460
5610,Memory,162352
5710,Insert,942
5710,Find,540
5710,Delete,1461
5710,Memory,164752
5810,Insert,857
5810,Find,497
5810,Delete,1390
5810,Memory,166800
5910,Insert,864
5910,Find,505
5910,Delete,1217
5910,Memory,169360
6010,Insert,830
6010,Find,525
6010,Delete,1347
6010,Memory,168976
6110,Insert,826
6110,Find,577
6110,Delete,1068
6110,Memory,173456
6210,Insert,1141
6210,Find,591
6210,Delete,1248
6210,Memory,184688
6310,Insert,781
6310,Find,535
6310,Delete,1392
6310,Memory,185232
6410,Insert,771
6410,Find,558
6410,Delete,1362
6410,Memory,189040
6510,Insert,882
6510,Find,482
6510,Delete,1157
6510,Memory,190320
6610,Insert,729
6610,Find,485
6610,Delete,1224
6610,Memory,190704
6710,Insert,794
6710,Find,571
6710,Delete,1273
6710,Memory,192944
6810,Insert,937
6810,Find,500
6810,Delete,1206
6810,Memory,194256
6910,Insert,854
6910,Find,553
6910,Delete,1184
6910,Memory,198480
7010,Insert,928
7010,Find,516
7010,Delete,1301
7010,Memory,199536
7110,Insert,878
7110,Find,623
7110,Delete,1304
7110,Memory,201808
7210,Insert,874
7210,Find,494
7210,Delete,1062
7210,Memory,211600
7310,Insert,876
7310,Find,578
7310,Delete,1187
7310,Memory,216336
7410,Insert,940
7410,Find,505
7410,Delete,1219
7410,Memory,216304
7510,Insert,973
7510,Find,455
7510,Delete,1311
7510,Memory,218512
7610,Insert,787
7610,Find,531
7610,Delete,1145
7610,Memory,220080
7710,Insert,807
7710,Find,477
7710,Delete,1099
7710,Memory,223856
7810,Insert,721
7810,Find,474
7810,Delete,995
7810,Memory,223216
7910,Insert,842
7910,Find,430
7910,Delete,688
7910,Memory,227184
8010,Insert,663
8010,Find,290
8010,Delete,779
8010,Memory,227120
8110,Insert,711
8110,Find,320
8110,Delete,721
8110,Memory,228624
8210,Insert,953
8210,Find,498
8210,Delete,1157
8210,Memory,240176
8310,Insert,979
8310,Find,532
8310,Delete,1302
8310,Memory,243024
8410,Insert,1028
8410,Find,479
8410,Delete,1201
8410,Memory,245072
8510,Insert,885
8510,Find,552
8510,Delete,1049
8510,Memory,246192
8610,Insert,973
8610,Find,510
8610,Delete,1137
8610,Memory,246640
8710,Insert,860
8710,Find,459
8710,Delete,1258
8710,Memory,252144
8810,Insert,849
8810,Find,532
8810,Delete,1273
8810,Memory,251152
8910,Insert,943
8910,Find,566
8910,Delete,1053
8910,Memory,255448
9010,Insert,966
9010,Find,492
9010,Delete,1265
9010,Memory,254736
9110,Insert,983
9110,Find,512
9110,Delete,1304
9110,Memory,256944
9210,Insert,782
9210,Find,621
9210,Delete,1377
9210,Memory,261168
9310,Insert,957
9310,Find,575
9310,Delete,1432
9310,Memory,268624
9410,Insert,975
9410,Find,543
9410,Delete,1135
9410,Memory,273008
9510,Insert,781
9510,Find,549
9510,Delete,963
9510,Memory,275152
9610,Insert,795
9610,Find,580
9610,Delete,898
9610,Memory,276144
9710,Insert,831
9710,Find,501
9710,Delete,719
9710,Memory,278128
9810,Insert,871
9810,Find,583
9810,Delete,857
9810,Memory,279536
9910,Insert,1112
9910,Find,660
9910,Delete,1155
9910,Memory,281392
10010,Insert,820
10010,Find,494
10010,Delete,1237
10010,Memory,285968
10110,Insert,914
10110,Find,542
10110,Delete,1249
10110,Memory,287184
10210,Insert,830
10210,Find,515
10210,Delete,865
10210,Memory,288176
10310,Insert,892
10310,Find,573
10310,Delete,1300
10310,Memory,302152
10410,Insert,1195
10410,Find,565
10410,Delete,1185
10410,Memory,302096
10510,Insert,940
10510,Find,557
10510,Delete,950
10510,Memory,302832
10610,Insert,1013
10610,Find,540
10610,Delete,1086
10610,Memory,305488
10710,Insert,812
10710,Find,450
10710,Delete,1188
10710,Memory,309392
10810,Insert,945
10810,Find,508
10810,Delete,1255
10810,Memory,307952
10910,Insert,1098
10910,Find,575
10910,Delete,1366
10910,Memory,308784
11010,Insert,945
11010,Find,611
11010,Delete,1113
11010,Memory,312464
11110,Insert,1152
11110,Find,654
11110,Delete,1143
11110,Memory,316528
11210,Insert,815
11210,Find,495
11210,Delete,1219
11210,Memory,318576
11310,Insert,988
11310,Find,468
11310,Delete,1146
11310,Memory,328176
11410,Insert,813
11410,Find,494
11410,Delete,1037
11410,Memory,328528
11510,Insert,777
11510,Find,733
11510,Delete,964
11510,Memory,336456
11610,Insert,688
11610,Find,437
11610,Delete,1140
11610,Memory,332624
11710,Insert,768
11710,Find,550
11710,Delete,1006
11710,Memory,335792
11810,Insert,707
11810,Find,517
11810,Delete,821
11810,Memory,335984
11910,Insert,695
11910,Find,401
11910,Delete,835
11910,Memory,338032
12010,Insert,879
12010,Find,448
12010,Delete,823
12010,Memory,341776
12110,Insert,844
12110,Find,411
12110,Delete,746
12110,Memory,343472
12210,Insert,709
12210,Find,370
12210,Delete,693
12210,Memory,344688
12310,Insert,899
12310,Find,477
12310,Delete,1008
12310,Memory,354928
12410,Insert,900
12410,Find,624
12410,Delete,803
12410,Memory,359312
12510,Insert,918
12510,Find,510
12510,Delete,1150
12510,Memory,362000
12610,Insert,805
12610,Find,522
12610,Delete,1256
12610,Memory,364376
12710,Insert,1101
12710,Find,627
12710,Delete,1289
12710,Memory,362104
12810,Insert,809
12810,Find,455
12810,Delete,880
12810,Memory,363568
12910,Insert,713
12910,Find,528
12910,Delete,1167
12910,Memory,366064
13010,Insert,856
13010,Find,489
13010,Delete,795
13010,Memory,369040
13110,Insert,918
13110,Find,519
13110,Delete,1172
13110,Memory,370000
13210,Insert,931
13210,Find,549
13210,Delete,949
13210,Memory,374000
13310,Insert,883
13310,Find,539
13310,Delete,1119
13310,Memory,374352
13410,Insert,804
13410,Find,549
13410,Delete,1288
13410,Memory,386160
13510,Insert,1000
13510,Find,583
13510,Delete,1042
13510,Memory,387280
13610,Insert,921
13610,Find,585
13610,Delete,1125
13610,Memory,395560
13710,Insert,735
13710,Find,524
13710,Delete,1239
13710,Memory,390832
13810,Insert,879
13810,Find,521
13810,Delete,1000
13810,Memory,393520
13910,Insert,713
13910,Find,514
13910,Delete,799
13910,Memory,395824
14010,Insert,672
14010,Find,450
14010,Delete,850
14010,Memory,396368
14110,Insert,909
14110,Find,602
14110,Delete,871
14110,Memory,398640
14210,Insert,763
14210,Find,462
14210,Delete,955
14210,Memory,402576
14310,Insert,889
14310,Find,589
14310,Delete,1166
14310,Memory,405168
14410,Insert,830
14410,Find,590
14410,Delete,886
14410,Memory,413264
14510,Insert,948
14510,Find,542
14510,Delete,1340
14510,Memory,420424
14610,Insert,1136
14610,Find,684
14610,Delete,1154
14610,Memory,418672
14710,Insert,983
14710,Find,588
14710,Delete,1248
14710,Memory,421968
14810,Insert,962
14810,Find,641
14810,Delete,1107
14810,Memory,423792
14910,Insert,914
14910,Find,587
14910,Delete,973
14910,Memory,422640
15010,Insert,735
15010,Find,545
15010,Delete,916
15010,Memory,426448
15110,Insert,645
15110,Find,370
15110,Delete,824
15110,Memory,430544
15210,Insert,797
15210,Find,479
15210,Delete,937
15210,Memory,430288
15310,Insert,1573
15310,Find,621
15310,Delete,1135
15310,Memory,434512
15410,Insert,964
15410,Find,559
15410,Delete,1101
15410,Memory,445144
15510,Insert,775
15510,Find,503
15510,Delete,884
15510,Memory,443984
15610,Insert,666
15610,Find,438
15610,Delete,855
15610,Memory,448272
15710,Insert,1077
15710,Find,451
15710,Delete,891
15710,Memory,450192
15810,Insert,642
15810,Find,452
15810,Delete,785
15810,Memory,450416
15910,Insert,796
15910,Find,481
15910,Delete,747
15910,Memory,451120
16010,Insert,877
16010,Find,380
16010,Delete,726
16010,Memory,456752
16110,Insert,772
16110,Find,300
16110,Delete,812
16110,Memory,456976
16210,Insert,878
16210,Find,572
16210,Delete,961
16210,Memory,462360
16310,Insert,934
16310,Find,495
16310,Delete,852
16310,Memory,460208
16410,Insert,712
16410,Find,486
16410,Delete,710
16410,Memory,470992
16510,Insert,1007
16510,Find,511
16510,Delete,811
16510,Memory,473328
16610,Insert,706
16610,Find,535
16610,Delete,843
16610,Memory,475152
16710,Insert,828
16710,Find,463
16710,Delete,812
16710,Memory,478640
16810,Insert,726
16810,Find,403
16810,Delete,745
